X,Y,Number,Letter,Angle,Distance
-4002.5498661460833,-1659.2946044991618,1,,-97.82392870469776,242.19672127998163
-10194.152086855822,-1797.2700204435946,2,,111.88313377257879,870.9303199083129
-10487.442618448618,-2314.6945517724075,3,,-30.15716702996394,930.0494307910059
-11612.711556602806,-3147.8826331294936,4,,140.59195787354795,1085.3729767724924
-13160.352086037015,-7153.475069517273,5,,-178.31172884591876,1495.338594796346
-13043.750758589213,-8102.168121445727,6,,-21.4386519733737,1613.045458997042
-14871.735794051183,-10110.13631173347,7,,-171.05139602443612,1887.1762065986263
-11074.14236341196,-9919.316626373356,8,,90.9730095125042,2285.4938466873837
-8677.443388922406,-9848.486839053796,9,,-41.148155207078,2553.521534429718
-8237.282519977727,-8597.52562471613,10,,-180.56795042522023,2678.390867084318
-8627.001765725101,-6142.266366985422,11,,-191.14447209022003,2934.939511395048
-8140.502538082326,-5357.265931568226,12,,115.09022178802522,3024.1504890510037
-7328.02827991963,-5441.099711541869,13,,-90.97901268389123,3100.8039258691406
-3203.535205733467,-5287.1526108486405,14,,64.02888553347759,3526.103962140363
-2813.3766286096075,-5561.05664668873,15,,-96.25082233626188,3576.7244270917245
1549.6159178222933,-2360.470641944083,16,,-51.56989885889029,4115.298790505571
3183.621546926235,-1411.8382518196768,17,,-7.579908469050402,4317.559173083346
2461.8283511989794,-336.4552654753461,18,,86.24746693674015,4445.246351636628
-395.8334440528106,-1491.902321353356,19,,-73.50537254412396,4770.212661080256
